arm,group,dataset,subject,seed,protocol,token,ends_at_ms,test_acc
reader,cohort,2a,4,2026,within,25,3200.0,85.4167
reader,cohort,2a,4,2026,within,26,3328.0,82.9861
reader,cohort,2a,4,2026,within,27,3456.0,82.6389
reader,cohort,2a,4,2026,within,28,3584.0,81.9444
reader,cohort,2a,4,2026,within,29,3712.0,83.3333
reader,cohort,2a,4,2026,within,30,3840.0,82.2917
reader,cohort,2a,4,2026,within,31,3968.0,83.6806
reader,cohort,2a,4,2026,within,32,4096.0,85.0694
reader,cohort,2a,4,2027,within,1,128.0,25.0
reader,cohort,2a,4,2027,within,2,256.0,25.3472
reader,cohort,2a,4,2027,within,3,384.0,45.4861
reader,cohort,2a,4,2027,within,4,512.0,55.5556
reader,cohort,2a,4,2027,within,5,640.0,64.2361
reader,cohort,2a,4,2027,within,6,768.0,69.0972
reader,cohort,2a,4,2027,within,7,896.0,75.0
reader,cohort,2a,4,2027,within,8,1024.0,77.7778
reader,cohort,2a,4,2027,within,9,1152.0,78.4722
reader,cohort,2a,4,2027,within,10,1280.0,80.5556
reader,cohort,2a,4,2027,within,11,1408.0,80.9028
reader,cohort,2a,4,2027,within,12,1536.0,82.6389
reader,cohort,2a,4,2027,within,13,1664.0,81.5972
reader,cohort,2a,4,2027,within,14,1792.0,82.9861
reader,cohort,2a,4,2027,within,15,1920.0,82.6389
reader,cohort,2a,4,2027,within,16,2048.0,82.6389
reader,cohort,2a,4,2027,within,17,2176.0,82.6389
reader,cohort,2a,4,2027,within,18,2304.0,81.9444
reader,cohort,2a,4,2027,within,19,2432.0,83.6806
reader,cohort,2a,4,2027,within,20,2560.0,84.0278
reader,cohort,2a,4,2027,within,21,2688.0,84.0278
reader,cohort,2a,4,2027,within,22,2816.0,84.375
reader,cohort,2a,4,2027,within,23,2944.0,83.6806
reader,cohort,2a,4,2027,within,24,3072.0,86.1111
reader,cohort,2a,4,2027,within,25,3200.0,85.0694
reader,cohort,2a,4,2027,within,26,3328.0,85.0694
reader,cohort,2a,4,2027,within,27,3456.0,83.3333
reader,cohort,2a,4,2027,within,28,3584.0,82.6389
reader,cohort,2a,4,2027,within,29,3712.0,85.0694
reader,cohort,2a,4,2027,within,30,3840.0,83.6806
reader,cohort,2a,4,2027,within,31,3968.0,85.0694
reader,cohort,2a,4,2027,within,32,4096.0,85.4167
reader,cohort,2a,5,2025,within,1,128.0,26.3889
reader,cohort,2a,5,2025,within,2,256.0,26.0417
reader,cohort,2a,5,2025,within,3,384.0,43.75
reader,cohort,2a,5,2025,within,4,512.0,60.4167
reader,cohort,2a,5,2025,within,5,640.0,61.4583
reader,cohort,2a,5,2025,within,6,768.0,64.9306
reader,cohort,2a,5,2025,within,7,896.0,66.3194
reader,cohort,2a,5,2025,within,8,1024.0,70.1389
reader,cohort,2a,5,2025,within,9,1152.0,71.875
reader,cohort,2a,5,2025,within,10,1280.0,71.875
reader,cohort,2a,5,2025,within,11,1408.0,73.9583
reader,cohort,2a,5,2025,within,12,1536.0,74.6528
reader,cohort,2a,5,2025,within,13,1664.0,77.7778
reader,cohort,2a,5,2025,within,14,1792.0,77.0833
reader,cohort,2a,5,2025,within,15,1920.0,77.0833
reader,cohort,2a,5,2025,within,16,2048.0,75.6944
reader,cohort,2a,5,2025,within,17,2176.0,69.4444
reader,cohort,2a,5,2025,within,18,2304.0,69.0972
reader,cohort,2a,5,2025,within,19,2432.0,62.5
reader,cohort,2a,5,2025,within,20,2560.0,61.1111
reader,cohort,2a,5,2025,within,21,2688.0,58.3333
reader,cohort,2a,5,2025,within,22,2816.0,56.9444
reader,cohort,2a,5,2025,within,23,2944.0,53.4722
reader,cohort,2a,5,2025,within,24,3072.0,52.0833
reader,cohort,2a,5,2025,within,25,3200.0,50.6944
reader,cohort,2a,5,2025,within,26,3328.0,51.3889
reader,cohort,2a,5,2025,within,27,3456.0,50.6944
reader,cohort,2a,5,2025,within,28,3584.0,50.6944
reader,cohort,2a,5,2025,within,29,3712.0,52.0833
reader,cohort,2a,5,2025,within,30,3840.0,52.4306
reader,cohort,2a,5,2025,within,31,3968.0,55.2083
reader,cohort,2a,5,2025,within,32,4096.0,68.75
reader,cohort,2a,5,2026,within,1,128.0,25.0
reader,cohort,2a,5,2026,within,2,256.0,25.3472
reader,cohort,2a,5,2026,within,3,384.0,25.3472
reader,cohort,2a,5,2026,within,4,512.0,57.6389
reader,cohort,2a,5,2026,within,5,640.0,60.4167
reader,cohort,2a,5,2026,within,6,768.0,65.625
reader,cohort,2a,5,2026,within,7,896.0,64.2361
reader,cohort,2a,5,2026,within,8,1024.0,62.8472
reader,cohort,2a,5,2026,within,9,1152.0,69.4444
reader,cohort,2a,5,2026,within,10,1280.0,72.9167
reader,cohort,2a,5,2026,within,11,1408.0,76.0417
reader,cohort,2a,5,2026,within,12,1536.0,77.0833
reader,cohort,2a,5,2026,within,13,1664.0,77.4306
reader,cohort,2a,5,2026,within,14,1792.0,78.8194
reader,cohort,2a,5,2026,within,15,1920.0,79.1667
reader,cohort,2a,5,2026,within,16,2048.0,78.4722
reader,cohort,2a,5,2026,within,17,2176.0,74.6528
reader,cohort,2a,5,2026,within,18,2304.0,71.5278
reader,cohort,2a,5,2026,within,19,2432.0,69.7917
reader,cohort,2a,5,2026,within,20,2560.0,69.4444
reader,cohort,2a,5,2026,within,21,2688.0,66.6667
reader,cohort,2a,5,2026,within,22,2816.0,67.0139
reader,cohort,2a,5,2026,within,23,2944.0,63.8889
reader,cohort,2a,5,2026,within,24,3072.0,64.2361
reader,cohort,2a,5,2026,within,25,3200.0,64.9306
reader,cohort,2a,5,2026,within,26,3328.0,63.8889
reader,cohort,2a,5,2026,within,27,3456.0,65.625
reader,cohort,2a,5,2026,within,28,3584.0,65.625
reader,cohort,2a,5,2026,within,29,3712.0,68.0556
reader,cohort,2a,5,2026,within,30,3840.0,65.2778
reader,cohort,2a,5,2026,within,31,3968.0,71.1806
reader,cohort,2a,5,2026,within,32,4096.0,77.7778
reader,cohort,2a,5,2027,within,1,128.0,25.0
reader,cohort,2a,5,2027,within,2,256.0,27.4306
reader,cohort,2a,5,2027,within,3,384.0,29.5139
reader,cohort,2a,5,2027,within,4,512.0,54.8611
reader,cohort,2a,5,2027,within,5,640.0,57.2917
reader,cohort,2a,5,2027,within,6,768.0,62.8472
reader,cohort,2a,5,2027,within,7,896.0,64.9306
reader,cohort,2a,5,2027,within,8,1024.0,64.9306
reader,cohort,2a,5,2027,within,9,1152.0,65.9722
reader,cohort,2a,5,2027,within,10,1280.0,68.0556
reader,cohort,2a,5,2027,within,11,1408.0,70.4861
reader,cohort,2a,5,2027,within,12,1536.0,70.8333
reader,cohort,2a,5,2027,within,13,1664.0,73.9583
reader,cohort,2a,5,2027,within,14,1792.0,74.6528
reader,cohort,2a,5,2027,within,15,1920.0,74.6528
reader,cohort,2a,5,2027,within,16,2048.0,74.3056
reader,cohort,2a,5,2027,within,17,2176.0,75.6944
reader,cohort,2a,5,2027,within,18,2304.0,76.7361
reader,cohort,2a,5,2027,within,19,2432.0,77.0833
reader,cohort,2a,5,2027,within,20,2560.0,76.7361
reader,cohort,2a,5,2027,within,21,2688.0,73.2639
reader,cohort,2a,5,2027,within,22,2816.0,73.6111
reader,cohort,2a,5,2027,within,23,2944.0,75.6944
reader,cohort,2a,5,2027,within,24,3072.0,75.6944
reader,cohort,2a,5,2027,within,25,3200.0,74.6528
reader,cohort,2a,5,2027,within,26,3328.0,74.3056
reader,cohort,2a,5,2027,within,27,3456.0,74.3056
reader,cohort,2a,5,2027,within,28,3584.0,73.6111
reader,cohort,2a,5,2027,within,29,3712.0,73.2639
reader,cohort,2a,5,2027,within,30,3840.0,74.3056
reader,cohort,2a,5,2027,within,31,3968.0,73.6111
reader,cohort,2a,5,2027,within,32,4096.0,78.8194
reader,cohort,2a,6,2025,within,1,128.0,25.0
reader,cohort,2a,6,2025,within,2,256.0,25.0
reader,cohort,2a,6,2025,within,3,384.0,38.1944
